Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Patterson, Wallace N.",In LLC,66525548399,Algeria,C,"76.32888, 86.33915",-0.193352257,260,8AEE483A-93D8-C27B-08E9-082301D3FF0A
"Marks, Angelica E.",Fusce Aliquet Magna Incorporated,82595365699,Mauritius,Podkarpackie,"19.87793, 53.23424",-0.2168493303,256,35A3AC1F-3F68-BA77-8FDF-18EAD9B603A9
"Curtis, Trevor T.",Id Magna Industries,44248337399,Qatar,Mazowieckie,"5.82336, -13.29481",-0.2305980302,705,7BCAC5D1-A490-B4C1-CEF0-1FA6E90BD9ED
"Figueroa, Basia N.",Sed Company,26375598099,Kuwait,SP,"30.06598, 45.39968",0.2811671997,435,4F7E4DAC-0C88-19A0-BC43-461180E2573F
"Hansen, Cruz I.",Tristique Company,20856999899,Rwanda,QC,"-38.38559, 157.29471",-0.1410989635,293,D4D88EB9-B81A-8AAA-AAE5-0B7E33E133F0
"Tyler, Matthew I.",Et PC,81759387399,British Indian Ocean Territory,AB,"-43.28331, 0.82739",-0.083936569,965,0597787E-0DFD-ACB0-FA7F-9E0DF363014F
"Kerr, Brandon J.",Tempor Lorem LLP,93573081999,Portugal,F,"-89.16169, -11.94194",0.4029455506,164,AB7BD0AD-AA56-5EC6-2A86-B12025D89F07
"Orr, Aphrodite W.",Vestibulum Massa Incorporated,31398742099,Central African Republic,C,"-13.71127, -151.66179",-0.1333508221,958,DD27FDAA-0D09-A348-2502-329336E8D96C
"Barnett, Rudyard J.",Aliquet Vel Corporation,66689226199,Moldova,AQ,"-11.77448, -101.01344",0.1316409071,559,0F9DA934-7915-6F97-7B6F-EC5AF44A8E88
"Mcleod, Hoyt C.",Libero Ltd,10450543899,Guinea,VB,"-70.64701, -166.60759",0.4321794055,241,125B3FC2-1947-2931-17CC-9445EAA3FF1F
"Mcclain, Leigh O.",Id Mollis Nec Ltd,88858845199,Portugal,Sląskie,"-9.21355, 4.23255",0.1338029191,928,FFE8A9B1-2140-35DE-B31A-2F10E04D1358
"Houston, Sybill R.",Vel Arcu LLC,34650093599,Namibia,N.,"-4.70278, 76.52287",0.0724970882,200,DB907675-8416-44A0-BF9F-938DA84E5728
